,Title,Views,Url
0,Nossas regras pra fazer publicidade,22 mil visualizações,https://www.youtube.com/watch?v=3aqeXMIkiq4
1,O QUE ESSA HAMBURGUERIA FEZ PRA ENTRAR NO GUINESS FOI INOVADOR,54 mil visualizações,https://www.youtube.com/watch?v=w62G9TKfLiU
2,NEM VAI PRECISAR SABER TOCAR PRA TER SUA BANDA,66 mil visualizações,https://www.youtube.com/watch?v=82THKuHUWrU
3,NOSSA APOSTA PARA OS JOGOS DO ANO! - GAME AWARDS,110 mil visualizações,https://www.youtube.com/watch?v=qznLrDHJlXk
4,MUSK FEZ O TWITTER (X) PERDER ANUNCIANTES DE NOVO,110 mil visualizações,https://www.youtube.com/watch?v=EIyvoCPn5QA
5,Viih Tube e Eliezer: a culpa NUNCA é da vítima,140 mil visualizações,https://www.youtube.com/watch?v=g4114Ar9-4E
6,LEON COMENTA FILME LIVE ACTION DE ZELDA,55 mil visualizações,https://www.youtube.com/watch?v=w94bnHLbDTk
7,ELE FEZ UM CORDEL PRA GENTE!,74 mil visualizações,https://www.youtube.com/watch?v=DIFN5u53I4Q
8,LEON OUVIU TAYLOR SWIFT E PAROU EM PÁGINA DE FOFOCA,102 mil visualizações,https://www.youtube.com/watch?v=CBwc0AQklmw
9,O QUE LEON ACHOU DO NOVO STEAM DECK OLED,77 mil visualizações,https://www.youtube.com/watch?v=UyR5Tra2ixw
10,ATÉ O CAETANO VELOSO SOFRERIA NO ENEM,174 mil visualizações,https://www.youtube.com/watch?v=BH0mlmQQGf8
11,LEON EXPLICA O MOTIVO DA REVOLTA DOS BOTAFOGUENSES,151 mil visualizações,https://www.youtube.com/watch?v=AgTQrIoB6lU
12,QUAL A DIFERENÇA? - DISCURSO DE ÓDIO e LIBERDADE DE EXPRESSÃO,57 mil visualizações,https://www.youtube.com/watch?v=RlzMkxqFQsY
13,OS 10 MELHORES DORAMAS QUE EU JÁ ASSISTI!,105 mil visualizações,https://www.youtube.com/watch?v=gtbF4pYQVgY
14,LEON REAGE AO FOLKLORE de TAYLOR SWIFT,156 mil visualizações,https://www.youtube.com/watch?v=ESQYgJmAROc
15,NOVO MACBOOK M3! VALE A PENA?,118 mil visualizações,https://www.youtube.com/watch?v=FfJ95AfhtHs
16,MICROSOFT CORTOU GAME PASS DOS FUNCIONÁRIOS?,167 mil visualizações,https://www.youtube.com/watch?v=JZz83h65K4E
17,COMO LIDAR COM O FRACASSO,57 mil visualizações,https://www.youtube.com/watch?v=WRJiH75Z_1Y
18,QUAL O MELHOR? - Steam Deck ou ROG Ally,90 mil visualizações,https://www.youtube.com/watch?v=UJYqgZBSVws
19,CAMPEONATO MUNDIAL DE GEOGUESSR!,314 mil visualizações,https://www.youtube.com/watch?v=fsLs9kGeqSU
20,TAYLOR SWIFT! A NOVA BILIONÁRIA DO MOMENTO,104 mil visualizações,https://www.youtube.com/watch?v=XAF7onm2LN4
21,DICAS PRA QUEM QUER VIAJAR PRA FORA DO BRASIL!,130 mil visualizações,https://www.youtube.com/watch?v=8jXv-G61D0M
22,MICROSOFT VAI SUBIR O PREÇO DO XBOX SERIES S,101 mil visualizações,https://www.youtube.com/watch?v=3VfIJKzMOYY
23,HINOS DO FUTEBOL BRASILEIRO!,99 mil visualizações,https://www.youtube.com/watch?v=n8_p42_29nQ
24,2023 FOI O MELHOR ANO PARA O MUNDO GAMER?,138 mil visualizações,https://www.youtube.com/watch?v=b0MxEq_bsYk
25,"O NOVO PlayStation 5 ""SLIM""!",175 mil visualizações,https://www.youtube.com/watch?v=-ko4Q_puFyA
26,MOSTREI A MINHA COLEÇÃO DE PSP!,120 mil visualizações,https://www.youtube.com/watch?v=_gNHN8xU458
27,COMO ERAM OS DESENHOS DOS ANOS 80?,129 mil visualizações,https://www.youtube.com/watch?v=6oOnIYIBiiA
28,SECA NO AMAZONAS E ENCHENTES NO SUL. SERÁ QUE AINDA TEM JEITO?,62 mil visualizações,https://www.youtube.com/watch?v=6pp63XyOk2M
29,ACTIVISION BLIZZARD AGORA É DA MICROSOFT!,119 mil visualizações,https://www.youtube.com/watch?v=WPxCmdXInvw
30,E SE ROUBAREM SEU DNA?,108 mil visualizações,https://www.youtube.com/watch?v=1xD7_G4XMaA
31,O PROBLEMA DA CONSTELAÇÃO FAMILIAR,189 mil visualizações,https://www.youtube.com/watch?v=2pztfoQKB7w
32,OS FÃ CLUBES FORAM LONGE DEMAIS!,72 mil visualizações,https://www.youtube.com/watch?v=yVj8wmgQQD0
33,É OFICIAL. Nintendo fecha os servidores do 3DS e Wii U.,106 mil visualizações,https://www.youtube.com/watch?v=7L7FnmiNGLM
34,"Chico, se tu me quiseres...",175 mil visualizações,https://www.youtube.com/watch?v=_78E6qisQsg
35,O QUE PODE ACONTECER COM OS JOGOS?,87 mil visualizações,https://www.youtube.com/watch?v=8sxX1qV1rPg
36,FOMOS PARAR NO CHOQUEI!,363 mil visualizações,https://www.youtube.com/watch?v=SJey0zIUBEY
37,O NOVO ÓCULOS DO FACEBOOK! - Ray-Ban Smart Glasses,191 mil visualizações,https://www.youtube.com/watch?v=-5LSNe_yzy4
38,A PALAVRA QUE SEMPRE USAMOS NO TERMO!,163 mil visualizações,https://www.youtube.com/watch?v=I5fg1B77ahE
39,OS 100 MELHORES ESCUDOS DE TIMES DE FUTEBOL,230 mil visualizações,https://www.youtube.com/watch?v=IwGPzQcYeq0
40,O ROBÔ ESTÁ FICANDO MUITO INTELIGENTE,167 mil visualizações,https://www.youtube.com/watch?v=U-9bIWCH85Q
41,VAZAMENTOS DO XBOX! - O que sabemos?,206 mil visualizações,https://www.youtube.com/watch?v=lSKsXbQYYEo
42,COMO FOI GRAVAR O VÍDEO MAIS TRABALHOSO DO COISA DE NERD!,86 mil visualizações,https://www.youtube.com/watch?v=fXn9SS_ts5o
43,COBRANÇA PELA INSTALAÇÃO DOS JOGOS? - Caso Unity,134 mil visualizações,https://www.youtube.com/watch?v=fe17uoD8des
44,QUANTAS VEZES VOCÊ PENSA NO IMPÉRIO ROMANO?,105 mil visualizações,https://www.youtube.com/watch?v=bac2HCKNjks
45,"iPHONE 15 SEM GRANDES NOVIDADES, MAS...",544 mil visualizações,https://www.youtube.com/watch?v=Byl98je5p2Y
46,COMO VAI FICAR A EDIÇÃO EM TABLETS,121 mil visualizações,https://www.youtube.com/watch?v=TRwetPunFUk
47,PERDI O MEU MARIDO PRA ESSE JOGO!,130 mil visualizações,https://www.youtube.com/watch?v=1Ngqpfxmojk
48,FIZ ALGO DIFERENTE NO YOUTUBE,113 mil visualizações,https://www.youtube.com/watch?v=Btf08YLu3gs
49,PODE ISSO?! - Termo,226 mil visualizações,https://www.youtube.com/watch?v=4HktTlQ9M3o
50,TEORIAS MALUCAS DO TIKTOK,412 mil visualizações,https://www.youtube.com/watch?v=QWEqdbMpbCs
51,O SEGREDO DA NILCE para acertar TODOS OS TERMOS!,96 mil visualizações,https://www.youtube.com/watch?v=XKr5dpFYEKA
52,O NOVO JOGO DO MARIO! - Super Mario Bros. Wonder,141 mil visualizações,https://www.youtube.com/watch?v=-ox3kbMr54U
53,GIGANTES DA INDÚSTRIA MUSICAL,185 mil visualizações,https://www.youtube.com/watch?v=kI_UBfyCFGo
54,NÃO ACREDITO QUE ELE COMPROU ISSO! - Playdate,327 mil visualizações,https://www.youtube.com/watch?v=eu-j1u2LK5Y
55,NÃO COMPRE seu PC GAMER AGORA!,181 mil visualizações,https://www.youtube.com/watch?v=8o3HsTXoXnQ
56,INCÊNDIOS NO CANADÁ e os IMPACTOS DA MUDANÇA CLIMÁTICA,418 mil visualizações,https://www.youtube.com/watch?v=S5fCIHzGaok
57,ACERTANDO FILMES EM 1 SEGUNDO - Moviedle,198 mil visualizações,https://www.youtube.com/watch?v=CabFE7IvwEE
58,TESTANDO NOSSO QI - Wikitrivia,123 mil visualizações,https://www.youtube.com/watch?v=mBNbSwolUlc
59,"OS REIS DO ""TERMO"" VOLTARAM!",117 mil visualizações,https://www.youtube.com/watch?v=ULQ_6KaIzLA
60,MEUS JOGOS FAVORITOS DO SWITCH,239 mil visualizações,https://www.youtube.com/watch?v=ZVIWaIOQa3g
61,A BÍBLIA FALA DE FILOSOFIA?,248 mil visualizações,https://www.youtube.com/watch?v=oUlFrB7Cnjs
62,NILCE FEZ A PERSONAGEM DELA EM BALDUR'S GATE 3!,371 mil visualizações,https://www.youtube.com/watch?v=tj9onGNBo-I
63,HOLLYWOOD JÁ FOI MELHOR!,275 mil visualizações,https://www.youtube.com/watch?v=3FzfGopfJ_8
64,IMPOSSÍVEL SALVAR ESSE OVO! - The Password Game,326 mil visualizações,https://www.youtube.com/watch?v=sSHyvzHinWs
65,O QUE ESTÁ POR TRÁS DO CASO DAS JÓIAS,209 mil visualizações,https://www.youtube.com/watch?v=b1AIkOsvuyw
66,ACHEI O MEU CHOCOLATE FAVORITO!,145 mil visualizações,https://www.youtube.com/watch?v=QiDqHUOR4ns
67,OPINE AQUI!,103 mil visualizações,https://www.youtube.com/watch?v=9P9OQGbqZLs
68,ISSO É UM HOMEM FANTASIADO DE URSO?,92 mil visualizações,https://www.youtube.com/watch?v=eH5FQP7pv_k
69,NINTENDO SWITCH 2? - O que já sabemos?,158 mil visualizações,https://www.youtube.com/watch?v=MGVNZDy1m14
70,POR QUE ESSA CARTA VALE TANTO?,205 mil visualizações,https://www.youtube.com/watch?v=DhBRRBjbCfE
71,O JOGO DO MOMENTO ACABOU COM A GENTE... 😭 - The Password Game,503 mil visualizações,https://www.youtube.com/watch?v=hcwgIhpyuVs
72,O COMPUTADOR DO FUTURO - Framework,196 mil visualizações,https://www.youtube.com/watch?v=pIQQvI61cgA
73,OLHA O QUE O FILME DA BARBIE FEZ!,134 mil visualizações,https://www.youtube.com/watch?v=2hfSXWJNgEU
74,O LEON É NATURAL ou FAKE NATTY?,250 mil visualizações,https://www.youtube.com/watch?v=Ssa-p8iHmPI
75,ESTÃO ESCONDENDO A VERDADE DO MUNDO?!,311 mil visualizações,https://www.youtube.com/watch?v=Pko_dZoH37g
76,TCHAU PASSARINHO DO TWITTER,249 mil visualizações,https://www.youtube.com/watch?v=Yw4j917Ymns
77,COMPREI O MEU PRÓPRIO PRESENTE DE ANIVERSÁRIO!,255 mil visualizações,https://www.youtube.com/watch?v=Yv2GtM26uBI
78,"TENTANDO TE CONVENCER a assistir ""OPPENHEIMER""!",345 mil visualizações,https://www.youtube.com/watch?v=aGLEDHPIa4s
79,A HORA DA VERDADE! LEON PROVA UMA CAIXONA DE TRENTO,625 mil visualizações,https://www.youtube.com/watch?v=kRThnWwh6-8
80,A Cultura de Instagram ESTRAGA TUDO!,320 mil visualizações,https://www.youtube.com/watch?v=eDynUlSTadw
81,AINDA VALE A PENA MORAR NO CANADÁ?,419 mil visualizações,https://www.youtube.com/watch?v=5Hy26RBSmxU
82,O QUE ESTÁ ACONTECENDO em HOLLYWOOD? - Greve dos Roteiristas,348 mil visualizações,https://www.youtube.com/watch?v=Srn-HhE9vfM
83,BOTAFOGO RUMO AO BRASILEIRÃO,178 mil visualizações,https://www.youtube.com/watch?v=WBLTDCx-M1s
84,O NOVO JOGO DO POKÉMON! - Pokémon Sleep,141 mil visualizações,https://www.youtube.com/watch?v=DIGY_WOJgP8
85,FUI NO LOCAL DA BATALHA DOS 300 DE ESPARTA.,78 mil visualizações,https://www.youtube.com/watch?v=0IR5mTwLT54
86,FUI PRESO NA GRÉCIA!,309 mil visualizações,https://www.youtube.com/watch?v=bCBNBHEjnV0
87,CONTAMOS (quase) TUDO SOBRE A VIAGEM!,90 mil visualizações,https://www.youtube.com/watch?v=_4zpWanzEnM
88,A NOVA REDE SOCIAL! - THREADS,408 mil visualizações,https://www.youtube.com/watch?v=zfFMa0lI1sQ
89,Não vou admitir isso!,137 mil visualizações,https://www.youtube.com/watch?v=BpJAOCmTXJ0
90,A VIDA IMITANDO A ARTE!,151 mil visualizações,https://www.youtube.com/watch?v=wnIyKomjtzM
91,NÃO ATUALIZE O SEU NINTENDO 3DS!,226 mil visualizações,https://www.youtube.com/watch?v=iLYM2QPm8RI
92,A MARVEL SÓ ESTÁ LANÇANDO COISA RUIM!,291 mil visualizações,https://www.youtube.com/watch?v=_ZC7MVwDyU0
93,O SWITCH da PLAYSTATION? - Project Q,270 mil visualizações,https://www.youtube.com/watch?v=kXSd5scejpk
94,VAMOS TER QUE VIAJAR PARA...,231 mil visualizações,https://www.youtube.com/watch?v=66bi-Uy8_xk
95,Liberdade de Expressão e Responsabilidade,120 mil visualizações,https://www.youtube.com/watch?v=Ne1jW82oKBQ
96,USARAM ChatGPT NA ESCOLA e OLHA NO QUE DEU!,499 mil visualizações,https://www.youtube.com/watch?v=7aCdjDpP2ok
97,NINGUÉM LEVA A SERIO OS MEUS SONHOS!,79 mil visualizações,https://www.youtube.com/watch?v=6jjACVRDzXE
98,O TWITTER VAI MUDAR DE NOVO?,202 mil visualizações,https://www.youtube.com/watch?v=EkuJmVz3urE
99,PARIS NÃO É TUDO ISSO!,329 mil visualizações,https://www.youtube.com/watch?v=dr9tt18P1oI
100,VOCÊ SABE A HISTÓRIA DO SEU SOBRENOME?,210 mil visualizações,https://www.youtube.com/watch?v=HSIUwPID2dk
101,Qual smartphone a gente usa?,453 mil visualizações,https://www.youtube.com/watch?v=lZHKnrwabCM
102,BASTIDORES do LEON JOGANDO O NOVO ZELDA!,149 mil visualizações,https://www.youtube.com/watch?v=P5_De6bV1hE
103,XBOX EM CRISE?!,389 mil visualizações,https://www.youtube.com/watch?v=KkRmjE2OYqk
104,A VERDADEIRA HISTÓRIA DA GRÉCIA,314 mil visualizações,https://www.youtube.com/watch?v=DbrYK5tv1BI
105,Conseguiram FILMAR um FANTASMA DE VERDADE?,143 mil visualizações,https://www.youtube.com/watch?v=jbLfu60pWaE
106,REAGINDO ÀS 10 MELHORES COZINHAS DO MUNDO,511 mil visualizações,https://www.youtube.com/watch?v=bInpdIjm3pI
107,Lançaram um filme do jogo TETRIS!,196 mil visualizações,https://www.youtube.com/watch?v=LreAl6d8tkU
108,O DIA QUE EU DORMI NA RUA,111 mil visualizações,https://www.youtube.com/watch?v=M70MW019Gjw
109,JOGAR TAMBÉM É TRABALHO!,147 mil visualizações,https://www.youtube.com/watch?v=LncIEldIqTM
110,VEJA O QUE MUDOU EM 1 ANO DE AVANÇOS da INTELIGÊNCIA ARTIFICIAL,175 mil visualizações,https://www.youtube.com/watch?v=f56DKx1UORo
111,TESTANDO o Chat Bing vs ChatGPT,179 mil visualizações,https://www.youtube.com/watch?v=pdbiL_WT7T8
112,O FIM DA LINHA PRO TWITTER?,226 mil visualizações,https://www.youtube.com/watch?v=c1up76bsNbo
113,ASSISTIMOS O FILME DO MARIO!,264 mil visualizações,https://www.youtube.com/watch?v=JmVLKc164eE
114,Os 20 Melhores Vídeo Games ONDE???,297 mil visualizações,https://www.youtube.com/watch?v=C0rKULBayOo
115,A Nintendo está DERRUBANDO vídeos no Youtube,226 mil visualizações,https://www.youtube.com/watch?v=9eK695XbaKI
116,O ESPERADO ACONTECEU!,579 mil visualizações,https://www.youtube.com/watch?v=XFM-e9GJ7x8
117,OS BEATLES foram ESQUECIDOS?,138 mil visualizações,https://www.youtube.com/watch?v=NEwbwmat-IE
118,Fala o que quer? Depois não reclama...,401 mil visualizações,https://www.youtube.com/watch?v=Kb85dxtkFFU
119,FRANQUIAS NOSTÁLGICAS ESTÃO VOLTANDO COM TUDO,275 mil visualizações,https://www.youtube.com/watch?v=D4X-SBUMgLc
120,NOVOS FILMES DO STAR WARS!,91 mil visualizações,https://www.youtube.com/watch?v=XTYGjFTRm9w
121,O FILME DO MARIO AZEDOU NAS CRÍTICAS,145 mil visualizações,https://www.youtube.com/watch?v=gnk-nlw-1Do
122,REAGINDO ÀS 25 MELHORES ANIMAÇÕES,818 mil visualizações,https://www.youtube.com/watch?v=OVOcQ_1-9NM
